963 0.090000 s
2013 0.250000 s
500 0.040000 s
265 0.020000 s
1924 0.250000 s
1721 0.210000 s
1018 0.110000 s
887 0.090000 s
366 0.030000 s
1692 0.200000 s
1838 0.210000 s
2625 0.350000 s
2073 0.250000 s
1015 0.110000 s
567 0.060000 s
9606 2.520000 s
1101 0.120000 s
743 0.080000 s
1500 0.170000 s
1338 0.140000 s
3418 0.480000 s
12610 3.770000 s
2458 0.310000 s
4160 0.550000 s
1232 0.130000 s
4194 0.640000 s
1179 0.130000 s
909 0.070000 s
4362 0.670000 s
2481 0.320000 s
1880 0.240000 s
3832 0.530000 s
1987 0.250000 s
1423 0.160000 s
2544 0.320000 s
1863 0.220000 s
1335 0.150000 s
590 0.050000 s
3682 0.380000 s
3700 0.520000 s
2410 0.300000 s
5876 1.170000 s
1687 0.200000 s
578 0.060000 s
2417 0.320000 s
1027 0.100000 s
13062 3.550000 s
1106 0.120000 s
1081 0.120000 s
2185 0.280000 s
1780 0.210000 s
3067 0.450000 s
498 0.050000 s
2469 0.310000 s
2609 0.350000 s
1180 0.120000 s
9844 2.550000 s
626 0.060000 s
1759 0.200000 s
2710 0.360000 s
3760 0.530000 s
1659 0.190000 s
1856 0.220000 s
1684 0.200000 s
2772 0.380000 s
767 0.070000 s
831 0.080000 s
1500 0.160000 s
5052 0.950000 s
3384 0.500000 s
718 0.070000 s
452 0.040000 s
1825 0.220000 s
1356 0.140000 s
1880 0.250000 s
2019 0.250000 s
328 0.030000 s
6086 1.120000 s
3749 0.590000 s
21384 8.340000 s
4281 0.640000 s
843 0.080000 s
1006 0.100000 s
1726 0.200000 s
3923 0.590000 s
11376 3.030000 s
3161 0.450000 s
1911 0.220000 s
2886 0.400000 s
2361 0.290000 s
682 0.070000 s
3981 0.600000 s
1219 0.120000 s
5127 0.890000 s
710 0.070000 s
3935 0.560000 s
5988 1.140000 s
4721 0.850000 s
1029 0.100000 s
3029 0.400000 s
1748 0.200000 s
2902 0.380000 s
1827 0.210000 s
1827 0.220000 s
19030 7.060000 s
1544 0.180000 s
7456 1.520000 s
1637 0.100000 s
3903 0.610000 s
839 0.080000 s
6461 1.230000 s
2977 0.430000 s
2311 0.300000 s
3032 0.430000 s
585 0.060000 s
472 0.040000 s
1147 0.130000 s
683 0.060000 s
3661 0.550000 s
